author,author_url,avg_rating,book_url,cover_url,ratings_count,title,source
Margaret Atwood,https://www.goodreads.com/author/show/3472.Margaret_Atwood,4.15,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578028274i/38447._SY75_.jpg,4,"The Handmaid’s Tale (The Handmaid's Tale, #1)",Best Feminist Books
Sylvia Plath,https://www.goodreads.com/author/show/4379.Sylvia_Plath,4.04,https://www.goodreads.com/book/show/56616095-the-bell-jar,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1668645154i/56616095._SX50_.jpg,4,The Bell Jar,Best Feminist Books
Charlotte Brontë,https://www.goodreads.com/author/show/1036615.Charlotte_Bront_,4.16,https://www.goodreads.com/book/show/10210.Jane_Eyre,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1557343311i/10210._SY75_.jpg,4,Jane Eyre,Best Feminist Books
Virginia Woolf,https://www.goodreads.com/author/show/6765.Virginia_Woolf,4.22,https://www.goodreads.com/book/show/18521.A_Room_of_One_s_Own,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327883012i/18521._SY75_.jpg,4,A Room of One’s Own,Best Feminist Books
Simone de Beauvoir,https://www.goodreads.com/author/show/5548.Simone_de_Beauvoir,4.18,https://www.goodreads.com/book/show/457264.The_Second_Sex,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327978178i/457264._SY75_.jpg,4,The Second Sex,Best Feminist Books
Jane Austen,https://www.goodreads.com/author/show/1265.Jane_Austen,4.3,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320399351i/1885._SY75_.jpg,4,Pride and Prejudice,Best Feminist Books
Alice Walker,https://www.goodreads.com/author/show/7380.Alice_Walker,4.28,https://www.goodreads.com/book/show/11486.The_Color_Purple,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1556348375i/11486._SY75_.jpg,4,"The Color Purple (The Color Purple, #1)",Best Feminist Books
Charlotte Perkins Gilman,https://www.goodreads.com/author/show/29527.Charlotte_Perkins_Gilman,4.06,https://www.goodreads.com/book/show/286957.The_Yellow_Wall_Paper,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1746311262i/286957._SX50_.jpg,4,The Yellow Wall-Paper,Best Feminist Books
Chimamanda Ngozi Adichie,https://www.goodreads.com/author/show/19992417.Chimamanda_Ngozi_Adichie,4.39,https://www.goodreads.com/book/show/22738563-we-should-all-be-feminists,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1430821222i/22738563._SX50_.jpg,4,We Should All Be Feminists,Best Feminist Books
Maya Angelou,https://www.goodreads.com/author/show/3503.Maya_Angelou,4.3,https://www.goodreads.com/book/show/13214.I_Know_Why_the_Caged_Bird_Sings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327957927i/13214._SY75_.jpg,4,"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Best Feminist Books
Betty Friedan,https://www.goodreads.com/author/show/21798.Betty_Friedan,3.88,https://www.goodreads.com/book/show/17573685-the-feminine-mystique,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1377019820i/17573685._SX50_.jpg,3,The Feminine Mystique,Best Feminist Books
V (formerly Eve Ensler),https://www.goodreads.com/author/show/60609.V_formerly_Eve_Ensler_,3.87,https://www.goodreads.com/book/show/104734.The_Vagina_Monologues,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327243997i/104734._SY75_.jpg,3,The Vagina Monologues,Best Feminist Books
