title	year	citations	authors	authororder	openaccess	oastatus	relatedworks	concepts	topics	domain	field	subfield	languages	worktype
Gender Trouble: Feminism and the Subversion of Identity	1991	28049	Mary McIntosh; Judith Butler	1. Mary McIntosh; 2. Judith Butler	False	closed	https://openalex.org/W2982445252; https://openalex.org/W3089771613; https://openalex.org/W4247478651; https://openalex.org/W2756056980; https://openalex.org/W2392564020; https://openalex.org/W2378209145; https://openalex.org/W4239407877; https://openalex.org/W2779721709; https://openalex.org/W4243130055; https://openalex.org/W2016522302	Subversion; Feminism; Gender studies; Sociology; Performative utterance; Politics; Psychoanalysis; Identity politics; Identity (music); Power (physics); Metaphysics; Subjectivity; Philosophy; Psychology; Aesthetics; Epistemology; Law; Physics; Political science; Quantum mechanics	Latin American and Latino Studies; Anarchism and Radical Politics; Art, Politics, and Modernism	Social Sciences	Social Sciences	Cultural Studies	en	article
Situated Knowledges: The Science Question in Feminism and the Privilege of Partial Perspective	1988	17241	Donna Haraway	1. Donna Haraway	False	closed	https://openalex.org/W1946080426; https://openalex.org/W2317596408; https://openalex.org/W2754513840; https://openalex.org/W4306957361; https://openalex.org/W2321558338; https://openalex.org/W1484437451; https://openalex.org/W2009802567; https://openalex.org/W28218254; https://openalex.org/W1577093205; https://openalex.org/W2223394321	Situated; Perspective (graphical); Privilege (computing); Feminism; Sociology; Gender studies; Political science; Art; Visual arts; Computer science; Law; Artificial intelligence	Feminist Epistemology and Gender Studies; Contemporary Sociological Theory and Practice	Social Sciences	Social Sciences	Sociology and Political Science	en	article
Situated Knowledges: The Science Question in Feminism and the Privilege of Partial Perspective	1988	7010	Donna Haraway	1. Donna Haraway	True	green	https://openalex.org/W2753533763; https://openalex.org/W2522448578; https://openalex.org/W2337002970; https://openalex.org/W2332086916; https://openalex.org/W2327521297; https://openalex.org/W2266294403; https://openalex.org/W2162874368; https://openalex.org/W2161021117; https://openalex.org/W2139967826; https://openalex.org/W2093745972; https://openalex.org/W2078186038; https://openalex.org/W2056879345; https://openalex.org/W2053501256; https://openalex.org/W2042349004; https://openalex.org/W2038600245; https://openalex.org/W2029648951; https://openalex.org/W2005061283; https://openalex.org/W1996149054; https://openalex.org/W1644932108; https://openalex.org/W1597750586	Situated; Epistemology; Sociology; Relativism; Objectivity (philosophy); Politics; Object (grammar); Feminist epistemology; Feminism; Subject (documents); Philosophy; Feminist philosophy; Gender studies; Political science; Law; Computer science; Library science; Linguistics; Artificial intelligence	Interdisciplinary Research and Collaboration; Posthumanist Ethics and Activism; Feminist Epistemology and Gender Studies	Social Sciences	Decision Sciences	Information Systems and Management	en	article
The science question in feminism	1987	3829	Kristin Waters	1. Kristin Waters	False	closed	https://openalex.org/W3114154697; https://openalex.org/W1547577918; https://openalex.org/W2152869043; https://openalex.org/W2013494527; https://openalex.org/W342068300; https://openalex.org/W91279511; https://openalex.org/W2099974807; https://openalex.org/W1553767020; https://openalex.org/W3008366965; https://openalex.org/W2737514969	Bridge (graph theory); Sustainability; Knowledge sharing; Relevance (law); Knowledge management; Political science; Public relations; Sociology; Ecology; Computer science; Biology; Anatomy; Law	Species Distribution and Climate Change; Sustainability and Climate Change Governance	Physical Sciences	Environmental Science	Ecological Modeling	en	article
Unbearable Weight: Feminism, Western Culture and the Body.	1995	5048	Mimi Nichter; Susan Bordo	1. Mimi Nichter; 2. Susan Bordo	False	closed	https://openalex.org/W2748952813; https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W4283774608; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W3020532874; https://openalex.org/W2899674914	Feminism; Gender studies; Sociology; Political science	French Historical and Cultural Studies	Social Sciences	Arts and Humanities	History	en	article
The Aftermath of Feminism: Gender, Culture and Social Change	2008	2832	Ángela McRobbie	1. Ángela McRobbie	False	closed	https://openalex.org/W632550776; https://openalex.org/W603182849; https://openalex.org/W2462752448; https://openalex.org/W2337002970; https://openalex.org/W2332086916; https://openalex.org/W2145481513; https://openalex.org/W2126729776; https://openalex.org/W2126091387; https://openalex.org/W2100153433; https://openalex.org/W2076141598; https://openalex.org/W2053501256; https://openalex.org/W2038600245; https://openalex.org/W2037232120; https://openalex.org/W2012241240; https://openalex.org/W1994612420; https://openalex.org/W1970647968; https://openalex.org/W1779982151; https://openalex.org/W1577813071; https://openalex.org/W1559708937; https://openalex.org/W1501181860	Feminism; Gender studies; Sociology; Tying; Feminist theory; Power (physics); Empowerment; Politics; Aesthetics; Political science; Art; Law; Physics; Operating system; Quantum mechanics; Computer science	Gender, Feminism, and Media; Cultural Industries and Urban Development; Historical Gender and Feminism Studies	Social Sciences	Social Sciences	Gender Studies	en	book
The Science Question in Feminism	1986	2798	Sandra Harding	1. Sandra Harding	False	closed	https://openalex.org/W3210295062; https://openalex.org/W3146083582; https://openalex.org/W3143515237; https://openalex.org/W3138484439; https://openalex.org/W2753533763; https://openalex.org/W2327521297; https://openalex.org/W2162874368; https://openalex.org/W2161463220; https://openalex.org/W2139967826; https://openalex.org/W2131918978; https://openalex.org/W2128218911; https://openalex.org/W2078186038; https://openalex.org/W2053501256; https://openalex.org/W2052396014; https://openalex.org/W2038600245; https://openalex.org/W2038200352; https://openalex.org/W2014307689; https://openalex.org/W2013445710; https://openalex.org/W2005061283; https://openalex.org/W138047100	Feminism; Postmodernism; Epistemology; Empiricism; Sociology; Bourgeoisie; Feminist epistemology; Politics; Science studies; Feminist philosophy; Social science; Gender studies; Political science; Philosophy; Law	Feminist Epistemology and Gender Studies	Social Sciences	Social Sciences	Sociology and Political Science	en	book
Data Feminism	2020	1459	Catherine D’Ignazio; Lauren Klein	1. Catherine D’Ignazio; 2. Lauren Klein	True	hybrid	https://openalex.org/W4391375266; https://openalex.org/W2748952813; https://openalex.org/W650520959; https://openalex.org/W4210480338; https://openalex.org/W4387994202; https://openalex.org/W1522275965; https://openalex.org/W3204462233; https://openalex.org/W193695556; https://openalex.org/W4282826619; https://openalex.org/W4378219583	Feminism; Big data; Injustice; Sociology; Engineering ethics; Computer science; Psychology; Gender studies; Social psychology; Engineering; Operating system	Ethics and Social Impacts of AI; Information Systems Theories and Implementation; Qualitative Comparative Analysis Research	Social Sciences	Social Sciences	Safety Research	en	book
Feminism without Borders: Decolonizing Theory, Practicing Solidarity	2003	2377	Chandra Talpade Mohanty	1. Chandra Talpade Mohanty	False	closed	https://openalex.org/W64581525; https://openalex.org/W637306354; https://openalex.org/W609726200; https://openalex.org/W3146083582; https://openalex.org/W2337002970; https://openalex.org/W2223221626; https://openalex.org/W2053501256; https://openalex.org/W2048294492; https://openalex.org/W2038600245; https://openalex.org/W2029648951; https://openalex.org/W2005061283; https://openalex.org/W1987351853; https://openalex.org/W1971390450; https://openalex.org/W184192484; https://openalex.org/W1597183254; https://openalex.org/W1552494050; https://openalex.org/W1525179934; https://openalex.org/W1516518760; https://openalex.org/W1486145806; https://openalex.org/W1485995441	Feminism; Gender studies; Solidarity; Grassroots; Sociology; Feminist theory; Feminist philosophy; Politics; Political science; Law	South Asian Studies and Diaspora; Indian History and Philosophy; Indian Economic and Social Development	Social Sciences	Arts and Humanities	Philosophy	en	book
Toward a Decolonial Feminism	2010	2227	María Lugones	1. María Lugones	False	closed	https://openalex.org/W2353509181; https://openalex.org/W2349755843; https://openalex.org/W2391796066; https://openalex.org/W2363882339; https://openalex.org/W2374201185; https://openalex.org/W1881710899; https://openalex.org/W2391101519; https://openalex.org/W2764864140; https://openalex.org/W2244841446; https://openalex.org/W2202690955	Colonialism; Race (biology); Modernity; Gender studies; Relation (database); Human sexuality; Sociology; Feminism; Normative; Reading (process); Feminist theory; Aesthetics; Political science; Law; Philosophy; Computer science; Database	Historical Gender and Feminism Studies; Tourism, Volunteerism, and Development; Caribbean history, culture, and politics	Social Sciences	Social Sciences	Sociology and Political Science	en	article
Feminism without Borders	2003	2201	Chandra Talpade Mohanty	1. Chandra Talpade Mohanty	False	closed	https://openalex.org/W4391375266; https://openalex.org/W2748952813; https://openalex.org/W2094403418; https://openalex.org/W4387901770; https://openalex.org/W4245646993; https://openalex.org/W4283774608; https://openalex.org/W4390586187; https://openalex.org/W3020532874; https://openalex.org/W4230473776; https://openalex.org/W2377144030	Feminism; Decolonization; Gender studies; Political science; Sociology; Politics; Law	Political Economy and Marxism	Social Sciences	Social Sciences	Sociology and Political Science	en	book
