author,author_url,avg_rating,book_url,cover_url,ratings_count,title,source
Torbjørn Ydegaard,https://www.goodreads.com/author/show/8204941.Torbj_rn_Ydegaard,5.0,https://www.goodreads.com/book/show/249487311-the-history-of-greenland,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1773066302i/249487311._SX50_.jpg,5,The History of Greenland: From prehistoric hunting cultures to independence in the late modernity,Best Feminist Books
Arune Savage,https://www.goodreads.com/author/show/55463728.Arune_Savage,5.0,https://www.goodreads.com/book/show/230611955-lost-my-mind-here-someplace,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1743210884i/230611955._SY75_.jpg,5,Lost My Mind Here Someplace: A Memoir,Best Feminist Books
Jayne Haines,https://www.goodreads.com/author/show/4550341.Jayne_Haines,5.0,https://www.goodreads.com/book/show/12424624-cry-for-the-moon,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347796111i/12424624._SX50_.jpg,5,Cry For The Moon,Best Feminist Books
Alexis Bomanza,https://www.goodreads.com/author/show/60123104.Alexis_Bomanza,5.0,https://www.goodreads.com/book/show/250582434-l-art-de-l-ducation-financi-re,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1775210785i/250582434._SX50_.jpg,5,"L'Art de l'éducation financière: Comprendre l’argent, investir avec assurance et atteindre l’indépendance financière.",Best Feminist Books
Brenda Mohammed,https://www.goodreads.com/author/show/20856694.Brenda_Mohammed,5.0,https://www.goodreads.com/book/show/231681249-memoirs-of-dr-andrew-moonir-khan,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1760703540i/231681249._SX50_.jpg,5,Memoirs of Dr. Andrew Moonir Khan: Journey of an Educator,Best Feminist Books
Ayn Cates Sullivan,https://www.goodreads.com/author/show/6646907.Ayn_Cates_Sullivan,5.0,https://www.goodreads.com/book/show/231229411-mythic-adventures,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1744235838i/231229411._SX50_.jpg,5,Mythic Adventures: Paintings & Poetry,Best Feminist Books
Herb  Cohen,https://www.goodreads.com/author/show/61614282.Herb_Cohen,5.0,https://www.goodreads.com/book/show/237290660-unveiled,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1750904621i/237290660._SY75_.jpg,5,Unveiled: A Journey to Soul Realization,Best Feminist Books
Margaret Atwood,https://www.goodreads.com/author/show/3472.Margaret_Atwood,4.15,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578028274i/38447._SY75_.jpg,4,"The Handmaid’s Tale (The Handmaid's Tale, #1)",Best Feminist Books
Sylvia Plath,https://www.goodreads.com/author/show/4379.Sylvia_Plath,4.04,https://www.goodreads.com/book/show/56616095-the-bell-jar,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1668645154i/56616095._SX50_.jpg,4,The Bell Jar,Best Feminist Books
Charlotte Brontë,https://www.goodreads.com/author/show/1036615.Charlotte_Bront_,4.16,https://www.goodreads.com/book/show/10210.Jane_Eyre,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1557343311i/10210._SY75_.jpg,4,Jane Eyre,Best Feminist Books
