word,count
science,8557
political science,8327
political,8327
sociology,6432
sociology political,6432
studies,5923
gender studies,4730
gender,4730
international,1908
international relations,1895
science international,1895
relations,1895
psychology,1204
theory,1201
literary,1194
literary theory,1194
literature,1194
literature literary,1194
arts,1080
philosophy,971
health,932
history,896
cultural,805
cultural studies,805
education,641
general,590
visual arts,537
arts performing,537
performing arts,537
performing,537
visual,537
public,508
social,458
clinical psychology,457
clinical,457
social psychology,409
management,373
law,354
administration,336
public administration,336
professions,312
general health,312
health professions,312
anthropology,309
communication,297
economics,280
economics econometrics,280
econometrics,280
research,259
religious,241
religious studies,241
safety,230
safety research,230
development,221
cognitive,208
geography planning,203
geography,203
planning,203
planning development,203
demography,195
music,193
museology,190
sciences,185
linguistics,185
language,185
occupational,183
human,180
medicine,176
environmental,175
occupational health,172
public health,172
health environmental,172
environmental occupational,172
language linguistics,158
reproductive,156
reproductive medicine,156
information,151
experimental cognitive,145
cognitive psychology,145
experimental,145
urban studies,140
urban,140
computer,134
philosophy science,131
history philosophy,131
systems,126
information systems,124
conservation,123
biological sciences,110
agricultural biological,110
agricultural,110
general agricultural,110
biological,110
general psychology,103
behavior,99
policy law,89
management monitoring,89
monitoring policy,89
monitoring,89
policy,89
technology,88
resource management,87
human resource,87
organizational,87
resource,87
organizational behavior,87
behavior human,87
interaction,86
human computer,86
computer interaction,86
nature landscape,78
nature,78
landscape conservation,78
landscape,78
management technology,71
technology innovation,71
innovation,71
finance,70
pharmacy,66
neuroscience,64
artificial,64
intelligence,64
artificial intelligence,64
cognitive neuroscience,63
planetary,59
marketing,58
planetary change,56
change,56
global,56
global planetary,56
epidemiology,52
general social,49
social sciences,49
child,47
child health,47
pediatrics perinatology,47
perinatology child,47
pediatrics,47
perinatology,47
systems management,46
classics,42
genetics,41
developmental educational,39
educational psychology,39
educational,39
developmental,39
neuropsychology,33
physiological,33
physiological psychology,33
therapy,33
neuropsychology physiological,33
strategy management,27
strategy,27
food science,27
linguistics language,27
food,27
ecology,26
operations research,25
obstetrics,25
library information,25
information sciences,25
library,25
gynecology,25
obstetrics gynecology,25
science operations,25
operations,25
management science,25
psychiatry,21
mental health,21
mental,21
psychiatry mental,21
engineering,19
applied,19
applied psychology,18
physiology,18
science applications,17
accounting,17
applications,17
computer science,17
astronomy,16
astronomy astrophysics,16
astrophysics,16
issues,14
plant,14
aspects,14
ethics,14
media technology,14
media,14
ethics legal,14
life,14
legal aspects,14
legal,14
issues ethics,14
architecture,14
plant science,14
business,13
international management,13
business international,13
biology,13
molecular,13
networks communications,12
networks,12
evolution behavior,12
communications,12
evolution,12
ecology evolution,12
behavior systematics,12
building construction,12
construction,12
systematics,12
computer networks,12
building,12
molecular biology,12
physical therapy,11
sports,11
occupational therapy,11
therapy rehabilitation,11
therapy sports,11
physical,11
rehabilitation,11
sports therapy,11
health toxicology,10
mutagenesis,10
toxicology,10
toxicology mutagenesis,10
oncology,9
medical services,9
services,9
emergency,9
nutrition,9
dietetics,9
nutrition dietetics,9
emergency medical,9
pollution,9
medical,9
complementary,8
econometrics finance,8
hearing,8
management information,8
general economics,8
alternative medicine,8
complementary alternative,8
pharmacology,8
speech,8
speech hearing,8
alternative,8
course studies,7
pathology,7
forensic,7
human factors,7
vision pattern,7
vision,7
computer vision,7
course,7
life course,7
life span,7
archeology,7
span,7
forensic medicine,7
recognition,7
pattern recognition,7
factors ergonomics,7
span life,7
pattern,7
pathology forensic,7
ergonomics,7
factors,7
design,6
diabetes metabolism,6
diabetes,6
probability,6
diseases,6
computer graphics,6
biomedical engineering,6
soil,6
computer aided,6
soil science,6
aided design,6
graphics,6
statistics,6
graphics computer,6
transportation,6
aided,6
general arts,6
metabolism,6
arts humanities,6
endocrinology diabetes,6
endocrinology,6
infectious diseases,6
infectious,6
humanities,6
biomedical,6
statistics probability,6
physics,5
surgery,5
chemistry,5
statistical nonlinear,5
statistical,5
mechanical,5
mechanical engineering,5
nonlinear,5
nonlinear physics,5
respiratory medicine,4
pulmonary,4
tourism,4
tourism leisure,4
pulmonary respiratory,4
agronomy crop,4
agronomy,4
research theory,4
respiratory,4
hospitality management,4
leisure,4
crop,4
modeling,4
mathematics,4
manufacturing engineering,4
crop science,4
leisure hospitality,4
manufacturing,4
hospitality,4
industrial,4
industrial manufacturing,4
health informatics,3
space planetary,3
atmospheric science,3
atmospheric,3
energy,3
computational theory,3
space,3
environmental chemistry,3
ultrasound,3
informatics,3
ecological,3
ultrasound technology,3
theory mathematics,3
geology,3
ecological modeling,3
planetary science,3
computational,3
radiological,3
radiological ultrasound,3
environment,2
neurology,2
sustainability environment,2
structural engineering,2
structural,2
animals,2
civil,2
dermatology,2
civil structural,2
energy sustainability,2
small animals,2
small,2
sustainability,2
information management,2
organic chemistry,2
organic,2
renewable energy,2
health information,2
renewable,2
transplantation,1
leadership,1
leadership management,1
anesthesiology,1
systems engineering,1
anesthesiology pain,1
coatings,1
control systems,1
general decision,1
control,1
urology,1
coatings films,1
general energy,1
probability uncertainty,1
geometry,1
topology,1
geometry topology,1
geriatrics,1
uncertainty,1
geriatrics gerontology,1
practice,1
periodontics,1
gerontology,1
pain medicine,1
films,1
surfaces coatings,1
molecular neuroscience,1
optical magnetic,1
optical,1
ocean engineering,1
ocean,1
biochemistry,1
electronic,1
cell,1
cell biology,1
electronic optical,1
sensory,1
sensory systems,1
simulation,1
cellular,1
paleontology,1
surfaces,1
microbiology,1
decision sciences,1
decision,1
materials,1
cellular molecular,1
magnetic materials,1
magnetic,1
family,1
family practice,1
pain,1
forestry,1
applied mathematics,1
gastroenterology,1
modeling simulation,1
