author,author_url,avg_rating,book_url,cover_url,ratings_count,title,source_list
Margaret Atwood,https://www.goodreads.com/author/show/3472.Margaret_Atwood,4.15,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578028274i/38447._SY75_.jpg,4,"The Handmaid’s Tale (The Handmaid's Tale, #1)",List_2
Sylvia Plath,https://www.goodreads.com/author/show/4379.Sylvia_Plath,4.04,https://www.goodreads.com/book/show/56616095-the-bell-jar,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1668645154i/56616095._SX50_.jpg,4,The Bell Jar,List_2
Charlotte Brontë,https://www.goodreads.com/author/show/1036615.Charlotte_Bront_,4.16,https://www.goodreads.com/book/show/10210.Jane_Eyre,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1557343311i/10210._SY75_.jpg,4,Jane Eyre,List_2
Virginia Woolf,https://www.goodreads.com/author/show/6765.Virginia_Woolf,4.22,https://www.goodreads.com/book/show/18521.A_Room_of_One_s_Own,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327883012i/18521._SY75_.jpg,4,A Room of One’s Own,List_2
Simone de Beauvoir,https://www.goodreads.com/author/show/5548.Simone_de_Beauvoir,4.18,https://www.goodreads.com/book/show/457264.The_Second_Sex,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327978178i/457264._SY75_.jpg,4,The Second Sex,List_2
Jane Austen,https://www.goodreads.com/author/show/1265.Jane_Austen,4.3,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320399351i/1885._SY75_.jpg,4,Pride and Prejudice,List_2
Alice Walker,https://www.goodreads.com/author/show/7380.Alice_Walker,4.28,https://www.goodreads.com/book/show/11486.The_Color_Purple,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1556348375i/11486._SY75_.jpg,4,"The Color Purple (The Color Purple, #1)",List_2
Charlotte Perkins Gilman,https://www.goodreads.com/author/show/29527.Charlotte_Perkins_Gilman,4.06,https://www.goodreads.com/book/show/286957.The_Yellow_Wall_Paper,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1746311262i/286957._SX50_.jpg,4,The Yellow Wall-Paper,List_2
Chimamanda Ngozi Adichie,https://www.goodreads.com/author/show/19992417.Chimamanda_Ngozi_Adichie,4.39,https://www.goodreads.com/book/show/22738563-we-should-all-be-feminists,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1430821222i/22738563._SX50_.jpg,4,We Should All Be Feminists,List_2
Maya Angelou,https://www.goodreads.com/author/show/3503.Maya_Angelou,4.3,https://www.goodreads.com/book/show/13214.I_Know_Why_the_Caged_Bird_Sings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327957927i/13214._SY75_.jpg,4,"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",List_2
Betty Friedan,https://www.goodreads.com/author/show/21798.Betty_Friedan,3.88,https://www.goodreads.com/book/show/17573685-the-feminine-mystique,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1377019820i/17573685._SX50_.jpg,3,The Feminine Mystique,List_2
V (formerly Eve Ensler),https://www.goodreads.com/author/show/60609.V_formerly_Eve_Ensler_,3.87,https://www.goodreads.com/book/show/104734.The_Vagina_Monologues,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327243997i/104734._SY75_.jpg,3,The Vagina Monologues,List_2
Kate Chopin,https://www.goodreads.com/author/show/5132.Kate_Chopin,3.69,https://www.goodreads.com/book/show/58345.The_Awakening,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1170507247i/58345._SY75_.jpg,3,The Awakening,List_2
Naomi Wolf,https://www.goodreads.com/author/show/22393.Naomi_Wolf,3.91,https://www.goodreads.com/book/show/39926.The_Beauty_Myth,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388197585i/39926._SY75_.jpg,3,The Beauty Myth: How Images of Beauty Are Used Against Women,List_2
Toni Morrison,https://www.goodreads.com/author/show/3534.Toni_Morrison,3.99,https://www.goodreads.com/book/show/6149.Beloved,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1722944318i/6149._SY75_.jpg,3,Beloved,List_2
Kathryn Stockett,https://www.goodreads.com/author/show/1943477.Kathryn_Stockett,4.47,https://www.goodreads.com/book/show/4667024-the-help,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1622355533i/4667024._SY75_.jpg,4,The Help,List_2
Suzanne Collins,https://www.goodreads.com/author/show/153394.Suzanne_Collins,4.35,https://www.goodreads.com/book/show/2767052-the-hunger-games,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722975i/2767052._SX50_.jpg,4,"The Hunger Games (The Hunger Games, #1)",List_2
Laurie Halse Anderson,https://www.goodreads.com/author/show/10003.Laurie_Halse_Anderson,4.05,https://www.goodreads.com/book/show/439288.Speak,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1310121762i/439288._SY75_.jpg,4,Speak,List_2
Henrik Ibsen,https://www.goodreads.com/author/show/2730977.Henrik_Ibsen,3.77,https://www.goodreads.com/book/show/37793.A_Doll_s_House,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1660268136i/37793._SY75_.jpg,3,A Doll's House,List_2
Zora Neale Hurston,https://www.goodreads.com/author/show/15151.Zora_Neale_Hurston,3.99,https://www.goodreads.com/book/show/37415.Their_Eyes_Were_Watching_God,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1368072803i/37415._SY75_.jpg,3,Their Eyes Were Watching God,List_2
bell hooks,https://www.goodreads.com/author/show/10697.bell_hooks,4.16,https://www.goodreads.com/book/show/168484.Feminism_Is_for_Everybody,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327933698i/168484._SY75_.jpg,4,Feminism Is for Everybody: Passionate Politics,List_2
Mary Wollstonecraft,https://www.goodreads.com/author/show/1853305.Mary_Wollstonecraft,3.92,https://www.goodreads.com/book/show/224387.A_Vindication_of_the_Rights_of_Woman,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388191273i/224387._SY75_.jpg,3,A Vindication of the Rights of Woman,List_2
Anita Diamant,https://www.goodreads.com/author/show/626222.Anita_Diamant,4.21,https://www.goodreads.com/book/show/4989.The_Red_Tent,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405739117i/4989._SY75_.jpg,4,The Red Tent,List_2
Margaret Mitchell,https://www.goodreads.com/author/show/11081.Margaret_Mitchell,4.31,https://www.goodreads.com/book/show/18405.Gone_with_the_Wind,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551144577i/18405._SY75_.jpg,4,Gone with the Wind,List_2
Virginia Woolf,https://www.goodreads.com/author/show/6765.Virginia_Woolf,3.87,https://www.goodreads.com/book/show/18839.Orlando,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1443118010i/18839._SY75_.jpg,3,Orlando,List_2
Khaled Hosseini,https://www.goodreads.com/author/show/569.Khaled_Hosseini,4.46,https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1655336738i/128029._SY75_.jpg,4,A Thousand Splendid Suns,List_2
Stieg Larsson,https://www.goodreads.com/author/show/706255.Stieg_Larsson,4.18,https://www.goodreads.com/book/show/2429135.The_Girl_With_the_Dragon_Tattoo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1684638853i/2429135._SX50_.jpg,4,"The Girl With the Dragon Tattoo (Millennium, #1)",List_2
Jane Austen,https://www.goodreads.com/author/show/1265.Jane_Austen,4.05,https://www.goodreads.com/book/show/6969.Emma,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1373627931i/6969._SY75_.jpg,4,Emma,List_2
Sophocles,https://www.goodreads.com/author/show/1002.Sophocles,3.69,https://www.goodreads.com/book/show/7728.Antigone,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486701308i/7728._SY75_.jpg,3,"Antigone (Theban Plays, #3)",List_2
