word,count
science,25820
sociology,22346
studies,21212
gender,18932
gender studies,18062
political,16488
political science,15213
feminism,15045
law,13901
philosophy,11144
psychology,9862
politics,9729
art,8845
social,7195
computer,6754
history,6606
computer science,6163
epistemology,4618
physics,4539
archaeology,4186
studies sociology,4122
science law,4012
sociology gender,3551
aesthetics,3460
biology,3361
mathematics,3288
linguistics,3257
literature,3134
social science,3051
economics,2853
engineering,2846
medicine,2521
social psychology,2329
media,2305
theory,2291
feminism gender,2191
studies political,2022
art history,2016
sociology political,2000
psychoanalysis,1921
media studies,1911
feminism sociology,1868
anthropology,1860
ecology,1790
human,1778
music,1777
feminist,1767
mechanics,1732
quantum,1718
quantum mechanics,1705
science sociology,1695
context archaeology,1562
context,1562
public,1521
identity,1447
relations,1362
science gender,1361
ethics,1343
arts,1333
power,1321
geography,1311
analysis,1296
environmental,1288
economic,1278
power physics,1277
pedagogy,1250
theology,1220
visual,1214
intelligence,1212
chemistry,1209
artificial,1205
artificial intelligence,1204
visual arts,1195
ideology,1192
movement,1183
law politics,1167
law political,1135
biochemistry,1102
narrative,1099
economy,1080
science philosophy,1072
identity music,1070
health,1036
sociology art,993
sexuality,993
human sexuality,987
language,985
sociology law,977
science politics,963
criminology,958
business,920
psychology social,888
programming,886
education,885
science political,881
law philosophy,867
politics law,866
library,863
political economy,862
humanities,860
science social,855
studies art,852
research,840
politics political,832
programming language,832
scholarship,821
state,801
public relations,790
perspective,774
graphical,773
perspective graphical,773
studies law,772
algorithm,761
psychology political,752
world,751
gene,743
queer,739
work,730
justice,725
philosophy law,723
library science,721
history art,717
history sociology,708
science computer,706
science art,701
environmental ethics,696
feminist theory,694
international,692
state computer,692
politics sociology,676
race,675
finance,663
politics gender,657
psychology sociology,654
sociology psychology,653
mechanical,650
mechanical engineering,647
art sociology,639
feminism politics,637
web,635
religious,623
operating,615
learning,614
neuroscience,613
philosophy linguistics,608
computing,608
wide,607
wide web,606
world wide,606
critical,605
management,604
studies psychology,602
epistemology philosophy,596
oppression,596
religious studies,595
democracy,594
studies philosophy,591
criticism,583
race biology,569
literature art,566
studies social,555
agency,550
philosophy epistemology,549
developmental,546
psychology gender,545
developmental psychology,543
sociology social,541
database,541
art literature,537
agency philosophy,535
intersectionality,531
physics quantum,530
sociology philosophy,525
science psychology,524
rights,523
paleontology,521
sociology politics,520
process,519
law computer,517
studies politics,517
international relations,513
communication,508
genetics,508
islam,506
patriarchy,505
studies feminism,498
feminism political,497
sociology history,497
art gender,494
mechanics physics,490
psychology law,490
philosophy political,488
philosophy sociology,486
white,484
sexual,483
representation,480
work physics,480
qualitative,478
subject,478
philosophy gender,478
growth,477
representation politics,474
documents,473
mathematical,473
subject documents,473
history political,473
economic growth,471
masculinity,469
group,469
population,466
action,466
art philosophy,464
science history,460
pure,458
pure mathematics,457
feminism art,455
black,451
science epistemology,450
mainstream,450
economic justice,449
art political,446
qualitative research,446
demography,446
history law,446
mathematical analysis,445
postmodernism,445
security,444
psychiatry,443
sociology feminism,442
mutation,441
white mutation,440
women,440
aesthetics art,438
field,438
art law,435
colonialism,433
empowerment,432
field mathematics,430
cultural,429
feminist movement,426
law economics,424
geometry,422
linguistics philosophy,422
psychotherapist,422
studies history,420
femininity,419
