word,count,category
science,25820,science
sociology,22346,social sciences
studies,21212,other
gender,18932,gender studies
gender studies,18062,gender studies
political,16488,political science
political science,15213,political science
feminism,15045,gender studies
law,13901,law
philosophy,11144,philosophy
psychology,9862,psychology
politics,9729,political science
art,8845,arts
social,7195,social sciences
computer,6754,computer science
history,6606,history
computer science,6163,computer science
epistemology,4618,philosophy
physics,4539,science
archaeology,4186,history
studies sociology,4122,other
science law,4012,law
sociology gender,3551,gender studies
aesthetics,3460,philosophy
biology,3361,science
mathematics,3288,science
linguistics,3257,other
literature,3134,literature
social science,3051,social sciences
economics,2853,economics
engineering,2846,other
medicine,2521,health
social psychology,2329,psychology
media,2305,media studies
theory,2291,other
feminism gender,2191,gender studies
studies political,2022,other
art history,2016,arts
sociology political,2000,other
psychoanalysis,1921,philosophy
media studies,1911,media studies
feminism sociology,1868,gender studies
anthropology,1860,social sciences
ecology,1790,science
human,1778,other
music,1777,arts
feminist,1767,gender studies
mechanics,1732,science
quantum,1718,science
quantum mechanics,1705,science
science sociology,1695,science
context archaeology,1562,history
context,1562,other
public,1521,other
identity,1447,cultural studies
relations,1362,international relations
science gender,1361,gender studies
ethics,1343,philosophy
arts,1333,arts
power,1321,philosophy
geography,1311,other
analysis,1296,other
environmental,1288,other
economic,1278,economics
power physics,1277,other
pedagogy,1250,education
theology,1220,philosophy
visual,1214,arts
intelligence,1212,other
chemistry,1209,science
artificial,1205,other
artificial intelligence,1204,other
visual arts,1195,arts
ideology,1192,philosophy
movement,1183,other
law politics,1167,law
law political,1135,law
biochemistry,1102,science
narrative,1099,literature
economy,1080,political science
science philosophy,1072,science
identity music,1070,arts
health,1036,health
sexuality,993,gender studies
sociology art,993,arts
human sexuality,987,gender studies
language,985,other
sociology law,977,other
science politics,963,science
criminology,958,social sciences
business,920,business
psychology social,888,psychology
programming,886,computer science
education,885,education
science political,881,other
law philosophy,867,law
politics law,866,law
library,863,other
political economy,862,political science
humanities,860,other
science social,855,other
studies art,852,arts
research,840,research
politics political,832,other
programming language,832,computer science
scholarship,821,research
state,801,social sciences
public relations,790,other
perspective,774,other
perspective graphical,773,other
graphical,773,other
studies law,772,law
algorithm,761,science
psychology political,752,psychology
world,751,other
gene,743,science
queer,739,gender studies
work,730,other
justice,725,social sciences
philosophy law,723,philosophy
library science,721,other
history art,717,arts
history sociology,708,history
science computer,706,computer science
science art,701,arts
environmental ethics,696,philosophy
feminist theory,694,gender studies
state computer,692,computer science
international,692,international relations
politics sociology,676,other
race,675,social sciences
finance,663,economics
politics gender,657,other
psychology sociology,654,psychology
sociology psychology,653,psychology
mechanical,650,other
mechanical engineering,647,other
art sociology,639,arts
feminism politics,637,gender studies
web,635,computer science
religious,623,philosophy
operating,615,computer science
learning,614,education
neuroscience,613,psychology
computing,608,computer science
philosophy linguistics,608,philosophy
wide,607,other
world wide,606,computer science
wide web,606,computer science
critical,605,philosophy
management,604,business
studies psychology,602,psychology
epistemology philosophy,596,philosophy
oppression,596,social sciences
religious studies,595,philosophy
democracy,594,other
studies philosophy,591,other
criticism,583,philosophy
race biology,569,social sciences
literature art,566,literature
studies social,555,other
agency,550,philosophy
philosophy epistemology,549,philosophy
developmental,546,psychology
psychology gender,545,psychology
developmental psychology,543,psychology
database,541,computer science
sociology social,541,social sciences
art literature,537,literature
agency philosophy,535,philosophy
intersectionality,531,other
physics quantum,530,science
sociology philosophy,525,other
science psychology,524,science
rights,523,social sciences
paleontology,521,science
sociology politics,520,other
process,519,other
law computer,517,law
studies politics,517,other
international relations,513,international relations
genetics,508,science
communication,508,other
islam,506,philosophy
patriarchy,505,social sciences
studies feminism,498,gender studies
feminism political,497,gender studies
sociology history,497,other
art gender,494,arts
mechanics physics,490,science
psychology law,490,psychology
philosophy political,488,philosophy
philosophy sociology,486,philosophy
white,484,social sciences
sexual,483,other
representation,480,cultural studies
work physics,480,other
philosophy gender,478,philosophy
qualitative,478,research
subject,478,philosophy
growth,477,other
representation politics,474,cultural studies
subject documents,473,philosophy
mathematical,473,science
history political,473,history
documents,473,other
economic growth,471,other
group,469,social sciences
masculinity,469,gender studies
population,466,social sciences
action,466,other
art philosophy,464,arts
science history,460,science
pure,458,other
pure mathematics,457,science
feminism art,455,gender studies
black,451,social sciences
science epistemology,450,philosophy
mainstream,450,other
economic justice,449,social sciences
art political,446,arts
history law,446,history
qualitative research,446,research
demography,446,social sciences
postmodernism,445,philosophy
mathematical analysis,445,science
security,444,other
psychiatry,443,health
sociology feminism,442,gender studies
mutation,441,science
women,440,gender studies
white mutation,440,other
field,438,other
aesthetics art,438,philosophy
art law,435,arts
colonialism,433,philosophy
empowerment,432,social sciences
field mathematics,430,science
cultural,429,cultural studies
feminist movement,426,gender studies
law economics,424,law
linguistics philosophy,422,other
psychotherapist,422,psychology
geometry,422,science
studies history,420,history
femininity,419,gender studies
sociology epistemology,414,philosophy
nursing,408,health
history gender,407,history
pathology,407,health
class,405,social sciences
art art,402,arts
resistance,399,social sciences
resistance ecology,398,other
inequality,395,social sciences
science artificial,392,science
studies epistemology,385,philosophy
reading,385,literature
epistemology political,380,philosophy
feminist philosophy,380,gender studies
studies gender,379,other
complex,374,philosophy
medical,368,health
data,366,other
lesbian,365,gender studies
subjectivity,365,philosophy
reading process,364,literature
complex analysis,358,philosophy
argument,358,philosophy
control,358,health
argument complex,358,philosophy
human rights,356,social sciences
racism,355,social sciences
diversity,353,cultural studies
psychology philosophy,352,psychology
science anthropology,351,science
law art,350,arts
sociology aesthetics,350,philosophy
optics,349,science
