word,count
sciences,17067
social sciences,16810
social,16810
humanities,4349
arts,4349
arts humanities,4349
psychology,1204
medicine,550
science,531
health,422
health professions,422
professions,422
econometrics,342
finance,342
economics econometrics,342
economics,342
econometrics finance,342
management,285
management accounting,285
accounting,285
business,285
business management,285
computer,265
computer science,265
environmental,264
environmental science,264
agricultural,174
agricultural biological,174
biological sciences,174
biological,174
decision sciences,73
decision,73
neuroscience,66
engineering,57
biochemistry,55
biochemistry genetics,55
genetics molecular,55
genetics,55
molecular,55
molecular biology,55
biology,55
nursing,28
astronomy,21
physics astronomy,21
physics,21
planetary sciences,10
planetary,10
earth planetary,10
earth,10
mathematics,8
pharmaceutics,6
pharmacology,6
pharmacology toxicology,6
toxicology,6
toxicology pharmaceutics,6
energy,3
materials science,2
materials,2
chemistry,2
veterinary,2
microbiology,1
immunology microbiology,1
immunology,1
dentistry,1
