word,count
feminism,10741
women,3926
feminist,2528
gender,2306
politics,1069
social,1047
new,931
feminisms,915
theory,820
review,682
study,628
research,610
critical,605
black,596
analysis,591
studies,579
education,548
political,535
female,523
woman,486
history,481
american,461
movement,455
work,444
culture,443
sexual,434
sex,427
contemporary,417
university,414
identity,411
media,403
press,398
post,397
violence,395
perspective,375
rights,369
power,368
global,366
science,359
cultural,359
la,358
men,340
transnational,337
case,335
century,332
race,331
introduction,330
book,323
pp,323
law,318
activism,317
wave,316
development,310
practice,305
world,298
health,298
discourse,298
family,293
african,286
international,285
justice,283
anti,282
literature,281
equality,280
state,277
art,276
modern,274
body,265
life,262
self,258
making,254
south,253
perspectives,252
radical,246
digital,246
ethics,246
philosophy,245
change,245
care,238
public,232
book review,232
human,226
writing,224
film,223
gendered,220
difference,219
queer,213
resistance,209
university press,208
policy,208
representation,208
en,207
sexuality,207
community,206
future,203
young,198
class,196
war,195
95,193
exploring,192
approach,192
wave feminism,191
islamic,190
age,189
liberal,187
critique,187
chinese,185
girls,185
popular,185
role,181
knowledge,181
early,179
intersectionality,178
reading,178
york,177
white,176
french,176
new york,175
scp,175
africa,174
amp,174
novel,173
intersectional,171
learning,171
teaching,170
experiences,169
second,168
reflections,168
religion,167
feminism women,167
america,166
relations,165
society,165
bodies,163
fiction,163
impact,162
movements,161
psychology,161
domestic,157
practices,156
western,155
china,155
context,155
black feminism,154
based,153
india,153
united,151
right,151
male,150
dalam,150
feminists,145
gender equality,145
muslim,145
literary,144
legal,144
postcolonial,144
time,141
online,141
question,141
lesbian,140
understanding,140
indigenous,140
identities,139
language,139
feminism gender,138
revolution,137
british,137
empowerment,134
neoliberal,134
psychoanalysis,133
love,133
working,133
action,131
space,131
el,131
agency,130
isbn,130
rethinking,130
states,130
masculinity,129
patriarchy,129
qualitative,129
discourses,129
children,129
challenges,129
trans,128
narratives,127
motherhood,126
freedom,126
era,126
mary,126
women feminism,125
lt,125
women movement,124
home,123
historical,123
leadership,123
people,123
students,123
gt,122
feminist theory,122
rape,122
00,121
diversity,121
attitudes,120
higher,119
experience,119
data,119
islam,119
liberation,119
democracy,119
narrative,118
thinking,117
pedagogy,117
issues,117
australian,116
construction,116
paper,115
spaces,114
london,113
thought,113
translation,113
crisis,113
second wave,113
perempuan,112
united states,111
europe,111
performance,111
struggle,110
higher education,110
feminism politics,109
sport,108
citizenship,108
socialist,108
academic,108
black women,107
feminisme,107
guides,107
case study,107
technology,107
transnational feminism,107
using,107
religious,105
theories,105
english,104
european,104
comparative,103
women rights,103
indian,103
decolonial,102
problem,102
disability,102
girl,102
marriage,101
times,101
strategies,101
latin,101
liberal feminism,101
stories,100
19,99
nationalism,99
femininity,98
place,98
national,97
islamic feminism,97
music,97
environmental,97
mothers,97
voices,97
mother,97
implications,97
social media,96
representations,96
personal,95
eco,95
britain,94
rise,94
subject,93
ideology,93
years,93
labor,93
response,92
gender feminism,92
solidarity,92
nature,92
jewish,91
approaches,91
cinema,91
women studies,91
peace,91
asian,91
conflict,91
criticism,90
postmodern,90
school,89
participation,89
socialism,89
christian,89
view,89
colonial,88
twentieth,88
dan,87
challenge,87
man,87
building,87
