word,count,category
feminism,10741,feminism
women,3926,women gender
feminist,2528,feminism
gender,2306,women gender
politics,1069,politics society
social,1047,politics society
new,931,other
feminisms,915,feminism
theory,820,theory philosophy
review,682,other
study,628,theory philosophy
research,610,theory philosophy
critical,605,theory philosophy
black,596,race ethnicity
analysis,591,theory philosophy
studies,579,theory philosophy
education,548,theory philosophy
political,535,politics society
female,523,women gender
woman,486,women gender
history,481,other
american,461,geography region
movement,455,politics society
work,444,economics
culture,443,identity culture
sexual,434,sexuality
sex,427,sexuality
contemporary,417,time period
university,414,theory philosophy
identity,411,identity culture
media,403,identity culture
press,398,identity culture
post,397,time period
violence,395,politics society
perspective,375,other
rights,369,politics society
power,368,politics society
global,366,geography region
science,359,other
cultural,359,identity culture
la,358,other
men,340,politics society
transnational,337,geography region
case,335,theory philosophy
century,332,time period
race,331,race ethnicity
introduction,330,other
book,323,identity culture
pp,323,other
law,318,other
activism,317,politics society
wave,316,time period
development,310,theory philosophy
practice,305,theory philosophy
world,298,other
health,298,health
discourse,298,identity culture
family,293,other
african,286,race ethnicity
international,285,geography region
justice,283,politics society
anti,282,other
literature,281,identity culture
equality,280,politics society
state,277,politics society
art,276,identity culture
modern,274,theory philosophy
body,265,health
life,262,other
self,258,psychology
making,254,other
south,253,other
perspectives,252,other
radical,246,theory philosophy
digital,246,technology
ethics,246,theory philosophy
philosophy,245,theory philosophy
change,245,theory philosophy
care,238,other
public,232,politics society
book review,232,other
human,226,other
writing,224,identity culture
film,223,identity culture
gendered,220,women gender
difference,219,other
queer,213,sexuality
resistance,209,politics society
university press,208,identity culture
policy,208,other
representation,208,identity culture
en,207,other
sexuality,207,sexuality
community,206,politics society
future,203,other
young,198,other
class,196,other
war,195,politics society
95,193,other
exploring,192,other
approach,192,theory philosophy
wave feminism,191,time period
islamic,190,religion
age,189,other
liberal,187,theory philosophy
critique,187,theory philosophy
chinese,185,geography region
girls,185,women gender
popular,185,other
role,181,other
knowledge,181,other
early,179,other
intersectionality,178,intersectionality
reading,178,other
york,177,other
white,176,race ethnicity
french,176,geography region
new york,175,geography region
scp,175,other
africa,174,geography region
amp,174,other
novel,173,identity culture
intersectional,171,intersectionality
learning,171,theory philosophy
teaching,170,theory philosophy
experiences,169,other
second,168,other
reflections,168,other
religion,167,religion
feminism women,167,other
america,166,geography region
relations,165,other
society,165,politics society
bodies,163,health
fiction,163,identity culture
impact,162,other
movements,161,politics society
psychology,161,psychology
domestic,157,other
practices,156,theory philosophy
western,155,other
china,155,geography region
context,155,other
black feminism,154,black feminism
based,153,other
india,153,geography region
united,151,other
right,151,other
male,150,politics society
dalam,150,other
feminists,145,feminism
gender equality,145,women gender
muslim,145,other
literary,144,identity culture
legal,144,other
postcolonial,144,time period
time,141,other
online,141,technology
question,141,other
lesbian,140,sexuality
understanding,140,other
indigenous,140,race ethnicity
identities,139,identity culture
language,139,other
feminism gender,138,other
revolution,137,politics society
british,137,geography region
empowerment,134,politics society
neoliberal,134,theory philosophy
psychoanalysis,133,theory philosophy
love,133,other
working,133,economics
action,131,other
space,131,other
el,131,other
agency,130,other
isbn,130,other
rethinking,130,other
states,130,politics society
masculinity,129,politics society
patriarchy,129,politics society
qualitative,129,theory philosophy
discourses,129,identity culture
children,129,other
challenges,129,other
trans,128,sexuality
narratives,127,identity culture
motherhood,126,women gender
freedom,126,other
era,126,time period
mary,126,other
women feminism,125,other
lt,125,other
women movement,124,women gender
home,123,other
historical,123,other
leadership,123,other
people,123,other
students,123,other
gt,122,other
feminist theory,122,feminism theory
rape,122,politics society
00,121,other
diversity,121,other
attitudes,120,other
higher,119,other
experience,119,other
data,119,other
islam,119,religion
liberation,119,politics society
democracy,119,politics society
narrative,118,identity culture
thinking,117,other
pedagogy,117,theory philosophy
issues,117,other
australian,116,geography region
construction,116,other
paper,115,other
spaces,114,other
london,113,geography region
thought,113,other
translation,113,other
crisis,113,other
second wave,113,time period
perempuan,112,other
united states,111,geography region
europe,111,geography region
performance,111,other
struggle,110,politics society
higher education,110,theory philosophy
feminism politics,109,other
sport,108,other
citizenship,108,politics society
socialist,108,politics society
academic,108,theory philosophy
black women,107,black women
feminisme,107,feminism
guides,107,other
case study,107,theory philosophy
technology,107,technology
transnational feminism,107,transnational feminism
using,107,other
religious,105,religion
theories,105,theory philosophy
english,104,other
european,104,geography region
comparative,103,other
women rights,103,women gender
indian,103,geography region
decolonial,102,race ethnicity
problem,102,other
disability,102,other
girl,102,women gender
marriage,101,other
times,101,other
strategies,101,other
latin,101,other
liberal feminism,101,liberal feminism
stories,100,identity culture
19,99,other
nationalism,99,politics society
femininity,98,women gender
place,98,other
national,97,politics society
islamic feminism,97,islamic feminism
music,97,identity culture
environmental,97,environment
mothers,97,women gender
voices,97,identity culture
mother,97,women gender
