word,count
studies,14204
gender,14172
feminism,5555
media,5299
history,4948
gender feminism,4911
politics,4826
historical,4531
education,3734
society,2960
social,2918
health,2658
feminism media,2526
culture,2506
cultural,2408
representation,2392
feminism studies,2383
historical gender,2383
identity,2302
politics representation,2288
gender politics,2288
political,2198
literature,2157
american,2145
ethics,2019
development,1970
analysis,1832
dynamics,1781
philosophy,1483
theory,1300
issues,1284
research,1255
history culture,1130
family,1120
religion,1120
diversity,1088
asian,1081
rights,1070
policy,1060
sexuality,1033
race,1022
labor,1022
law,1004
communication,1000
media studies,974
studies gender,949
identity studies,946
societal,926
security,909
gender roles,906
roles,906
roles identity,906
media gender,887
inequality,874
human,869
economy,861
work,832
technology,826
gender diversity,820
diversity inequality,820
migration,795
historical studies,778
african,772
movements,771
latin,752
islamic,750
practices,749
conflict,749
digital,739
gender studies,729
criticism,721
history american,708
feminist,683
race history,672
contemporary,672
american society,672
behavior,671
gender security,668
security conflict,668
lgbtq,665
middle,661
cinema,655
feminism gender,646
global,634
literary,631
critical,630
gender health,621
marxism,617
reproduction,617
studies history,612
political economy,608
changes,607
health societal,606
societal changes,606
studies reproduction,606
language,606
reproduction gender,606
economy marxism,603
gender sexuality,600
family dynamics,599
legal,598
advertising,590
islamic studies,588
gender advertising,586
south,579
methods,577
interactions,566
cultural studies,553
religion society,546
environmental,546
sexuality studies,524
jewish,523
philosophy ethics,516
art,515
economic,511
latin american,501
psychology,501
practice,500
management,493
movements unions,479
labor movements,479
unions,479
women,476
eastern,475
sex,463
studies historical,463
impacts,462
women rights,451
gender women,451
sports,450
research methods,447
constitutional,443
sexual,439
french,438
social media,437
behavior technology,433
sexuality behavior,433
reproductive,432
european,425
music,422
south asian,416
health identity,412
lgbtq health,412
identity policy,412
media politics,411
performance,411
systems,408
middle eastern,407
jewish middle,407
eastern studies,407
politics society,405
power,405
culture studies,405
british,401
power ethics,401
foucault,401
foucault power,401
themes,400
related,395
urban,393
political philosophy,392
child,388
historical cultural,388
science,386
related issues,382
work related,382
youth,382
latino studies,382
latino,382
sex work,382
american latino,382
challenges,381
animal,379
impact,377
cinema media,373
educational,370
law politics,368
reproductive health,368
constitutional law,368
american constitutional,368
literature criticism,368
culture media,353
gender labor,346
labor family,346
governance,341
violence,341
human animal,340
epistemology,334
asian culture,332
reform,332
policy reform,330
social policy,330
reform studies,330
literature analysis,327
french historical,326
academic,322
animal interactions,319
geographies human,319
international,319
modernism,319
geographies,319
sustainability,318
political dynamics,317
african history,316
music history,315
applications,314
societal dynamics,313
education societal,313
youth education,313
perspectives,311
finance,310
asian studies,310
sports gender,307
history society,307
gender society,307
qualitative,305
social issues,305
epistemology gender,303
feminist epistemology,303
politics modernism,302
art politics,302
history politics,300
literary studies,299
enlightenment,293
literature culture,291
games,290
socio,289
reforms,286
tourism,285
religious,284
representation gender,280
society development,279
games media,279
digital games,278
identity history,277
qualitative research,277
irish,277
british studies,277
canadian,277
irish british,277
technologies,276
canadian identity,276
healthcare,276
postcolonial,275
policies,274
pedagogy,274
communication studies,272
diverse,272
sport,272
studies communication,271
religion gender,269
gender enlightenment,269
cinema culture,268
education practice,268
asian cinema,268
contemporary political,267
historical contemporary,267
law society,263
society culture,263
methods ethics,258
medical,258
literature history,257
race theory,257
theory education,257
multiculturalism,257
critical race,257
cultural literary,256
east,255
innovations,254
middle east,254
african sexualities,253
sexualities lgbtq,253
sexualities,253
lgbtq issues,253
media media,252
latin america,251
america,251
relationships,250
textiles,248
cultural textiles,248
fashion cultural,248
fashion,248
postcolonial cultural,248
sport mega,246
event,246
mega,246
event impacts,246
mega event,246
posthumanist ethics,245
posthumanist,245
ethics activism,245
activism,245
history philosophy,245
social studies,245
sociology,243
insights,241
human rights,241
health technologies,241
contemporary literature,240
discourse,238
communism,237
rural,237
political economic,237
economic history,235
uk,235
history uk,235
representation historical,235
design,233
welfare,232
society interactions,231
ecology,229
european history,229
socioeconomic,225
hermeneutics,225
theory gender,224
feminist theory,223
fiction,222
critical theory,221
family balance,218
mental,218
balance challenges,218
work family,218
balance,218
indigenous,217
leadership,216
rural development,215
mental health,213
employment,211
justice,211
literature studies,210
change,209
climate,209
themes analysis,207
marriage,207
use,207
history themes,207
climate change,206
urban development,206
anarchism,205
techniques,205
radical,205
radical politics,205
anarchism radical,205
visual,201
sciences,200
industries,200
interdisciplinary,199
cultural industries,199
industries urban,199
innovative,198
performance studies,198
studies language,198
conflicts,195
learning,194
beauvoir sartre,194
simone beauvoir,194
beauvoir,194
simone,194
sartre,194
theatre,190
theatre performance,190
sociopolitical,189
early,189
analysis criticism,189
integration,188
war,185
themes literature,184
australian,184
refugees,182
japanese history,180
japanese,180
inequality gender,180
academic historical,179
perspectives psychology,179
historical perspectives,179
language studies,178
italian,178
discourse analysis,177
adaptation,176
social movements,176
refugees integration,176
migration refugees,176
australian history,175
legal studies,175
partner family,174
protests social,174
education studies,174
theory philosophy,174
protests,174
intimate partner,174
intimate,174
communism protests,174
family violence,174
partner,174
post,173
organizational,173
german,172
media analysis,170
socioeconomic development,169
rhetoric,169
rhetoric communication,169
poetry,168
studies insights,168
anthropological studies,168
anthropological,168
italian fascism,167
fascism post,167
