word,count,subfield
science,8742,science
political,8327,social sciences
political science,8327,social sciences
sociology,6432,social sciences
sociology political,6432,social sciences
study,5923,other
gender study,4730,other
gender,4730,gender studies
international,1908,international relations
science international,1895,international relations
international relation,1895,other
relation,1895,other
psychology,1204,social sciences
theory,1201,theory
literary theory,1194,literature
literature literary,1194,literature
literature,1194,literature
literary,1194,literature
art,1080,other
philosophy,971,philosophy
health,932,health
history,896,history
cultural,805,cultural
cultural study,805,other
education,641,education
general,590,general
perform art,537,other
perform,537,other
visual art,537,other
art perform,537,other
visual,537,arts
public,508,public
social,458,social sciences
clinical psychology,457,social sciences
clinical,457,health
social psychology,409,social sciences
management,373,management
law,354,law
administration,336,administration
public administration,336,administration
profession,312,other
general health,312,general
health profession,312,other
anthropology,309,social sciences
communication,309,communication
economic,280,other
econometric,280,other
economic econometric,280,other
research,259,research
religious,241,other
religious study,241,other
safety research,230,research
safety,230,research
development,221,development
cognitive,208,social sciences
planning,203,social sciences
planning development,203,social sciences
geography,203,social sciences
geography planning,203,social sciences
demography,195,social sciences
music,193,arts
museology,190,arts
language,185,literature
occupational,183,occupational
human,180,human
medicine,176,medicine
environmental,175,environmental
public health,172,public
environmental occupational,172,environmental
occupational health,172,occupational
health environmental,172,environmental
language linguistic,158,other
linguistic,158,other
reproductive medicine,156,medicine
reproductive,156,health
information,151,information
experimental cognitive,145,experimental
cognitive psychology,145,social sciences
experimental,145,experimental
urban study,140,other
urban,140,urban
computer,134,computer science
philosophy science,131,theory
history philosophy,131,history
conservation,123,nature
agricultural,110,agricultural
general agricultural,110,agricultural
biological,110,biological
biological science,110,other
agricultural biological,110,agricultural
general psychology,103,general
behavior,99,social sciences
management monitoring,89,management
monitoring,89,management
monitoring policy,89,policy
policy law,89,policy
policy,89,policy
technology,88,technology
organizational behavior,87,management
organizational,87,management
human resource,87,human
behavior human,87,human
resource,87,other
resource management,87,management
human computer,86,human
interaction,86,computer science
computer interaction,86,computer science
landscape conservation,78,nature
nature landscape,78,nature
nature,78,nature
landscape,78,nature
innovation,71,management
management technology,71,management
technology innovation,71,technology
finance,70,management
pharmacy,66,health
artificial,64,computer science
artificial intelligence,64,computer science
intelligence,64,computer science
neuroscience,64,neuroscience
cognitive neuroscience,63,neuroscience
planetary,59,planetary
marketing,58,marketing
change,56,change
planetary change,56,change
global,56,global
global planetary,56,global
epidemiology,52,science
social science,49,other
general social,49,general
information management,48,information management
perinatology,47,health
child,47,child
pediatric perinatology,47,other
perinatology child,47,child
pediatric,47,other
child health,47,child
classic,42,other
genetic,41,other
developmental educational,39,educational
developmental,39,developmental
educational,39,educational
educational psychology,39,educational
therapy,33,health
neuropsychology,33,neuropsychology
neuropsychology physiological,33,neuropsychology
physiological,33,physiology
physiological psychology,33,physiology
strategy,27,management
strategy management,27,management
linguistics language,27,literature
food science,27,food
linguistics,27,literature
food,27,food
ecology,26,ecology
gynecology,25,health
information science,25,other
obstetric gynecology,25,other
library,25,library
library information,25,library
obstetric,25,other
science operation,25,other
management science,25,management
operation research,25,other
operation,25,other
